ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
GO:0010640,regulation of platelet-derived growth factor receptor signaling pathway,1/1,24/18670,0.00128548473486867,0.0101231922870898,NA,F3,1
GO:0050927,positive regulation of positive chemotaxis,1/1,25/18670,0.00133904659882156,0.0101231922870898,NA,F3,1
GO:0030194,positive regulation of blood coagulation,1/1,26/18670,0.00139260846277445,0.0101231922870898,NA,F3,1
GO:0050926,regulation of positive chemotaxis,1/1,26/18670,0.00139260846277445,0.0101231922870898,NA,F3,1
GO:1900048,positive regulation of hemostasis,1/1,26/18670,0.00139260846277445,0.0101231922870898,NA,F3,1
GO:0050820,positive regulation of coagulation,1/1,27/18670,0.00144617032672711,0.0101231922870898,NA,F3,1
GO:0072378,blood coagulation, fibrin clot formation,1/1,27/18670,0.00144617032672711,0.0101231922870898,NA,F3,1
GO:0048008,platelet-derived growth factor receptor signaling pathway,1/1,57/18670,0.00305302624531334,0.0150473129798244,NA,F3,1
GO:0090303,positive regulation of wound healing,1/1,61/18670,0.00326727370112467,0.0150473129798244,NA,F3,1
GO:0050918,positive chemotaxis,1/1,68/18670,0.00364220674879479,0.0150473129798244,NA,F3,1
GO:1903036,positive regulation of response to wounding,1/1,74/18670,0.0039635779325119,0.0150473129798244,NA,F3,1
GO:0030193,regulation of blood coagulation,1/1,79/18670,0.00423138725227634,0.0150473129798244,NA,F3,1
GO:1900046,regulation of hemostasis,1/1,80/18670,0.00428494911622912,0.0150473129798244,NA,F3,1
GO:0050818,regulation of coagulation,1/1,84/18670,0.00449919657204056,0.0150473129798244,NA,F3,1
GO:0006919,activation of cysteine-type endopeptidase activity involved in apoptotic process,1/1,86/18670,0.00460632029994623,0.0150473129798244,NA,F3,1
GO:0001938,positive regulation of endothelial cell proliferation,1/1,112/18670,0.00599892876272079,0.0180436529191215,NA,F3,1
GO:0043280,positive regulation of cysteine-type endopeptidase activity involved in apoptotic process,1/1,132/18670,0.00707016604177813,0.0180436529191215,NA,F3,1
GO:0050921,positive regulation of chemotaxis,1/1,135/18670,0.00723085163363668,0.0180436529191215,NA,F3,1
GO:0061041,regulation of wound healing,1/1,148/18670,0.00792715586502379,0.0180436529191215,NA,F3,1
GO:2001056,positive regulation of cysteine-type endopeptidase activity,1/1,149/18670,0.0079807177289769,0.0180436529191215,NA,F3,1
GO:0001936,regulation of endothelial cell proliferation,1/1,176/18670,0.00942688805570413,0.0180436529191215,NA,F3,1
GO:0051897,positive regulation of protein kinase B signaling,1/1,176/18670,0.00942688805570413,0.0180436529191215,NA,F3,1
GO:0010950,positive regulation of endopeptidase activity,1/1,178/18670,0.00953401178360991,0.0180436529191215,NA,F3,1
GO:1903034,regulation of response to wounding,1/1,179/18670,0.0095875736475628,0.0180436529191215,NA,F3,1
GO:0001935,endothelial cell proliferation,1/1,191/18670,0.0102303160149972,0.0180436529191215,NA,F3,1
GO:0010952,positive regulation of peptidase activity,1/1,197/18670,0.0105516871987144,0.0180436529191215,NA,F3,1
GO:0072376,protein activation cascade,1/1,198/18670,0.0106052490626674,0.0180436529191215,NA,F3,1
GO:0045766,positive regulation of angiogenesis,1/1,204/18670,0.0109266202463844,0.0180436529191215,NA,F3,1
GO:0050679,positive regulation of epithelial cell proliferation,1/1,206/18670,0.0110337439742901,0.0180436529191215,NA,F3,1
GO:0043281,regulation of cysteine-type endopeptidase activity involved in apoptotic process,1/1,215/18670,0.0115158007498661,0.0180436529191215,NA,F3,1
GO:0050920,regulation of chemotaxis,1/1,217/18670,0.0116229244777718,0.0180436529191215,NA,F3,1
GO:0002526,acute inflammatory response,1/1,220/18670,0.0117836100696304,0.0180436529191215,NA,F3,1
GO:1904018,positive regulation of vasculature development,1/1,230/18670,0.0123192287091589,0.0182921880832966,NA,F3,1
GO:2000116,regulation of cysteine-type endopeptidase activity,1/1,239/18670,0.0128012854847348,0.0182967327262988,NA,F3,1
GO:0051896,regulation of protein kinase B signaling,1/1,244/18670,0.0130690948044991,0.0182967327262988,NA,F3,1
GO:0043491,protein kinase B signaling,1/1,269/18670,0.0144081414033207,0.0196110813545198,NA,F3,1
GO:0032103,positive regulation of response to external stimulus,1/1,323/18670,0.0173004820567755,0.0218924321005392,NA,F3,1
GO:0016485,protein processing,1/1,328/18670,0.0175682913765398,0.0218924321005392,NA,F3,1
GO:0007596,blood coagulation,1/1,336/18670,0.0179967862881628,0.0218924321005392,NA,F3,1
GO:0007599,hemostasis,1/1,341/18670,0.0182645956079271,0.0218924321005392,NA,F3,1
GO:0050817,coagulation,1/1,342/18670,0.0183181574718797,0.0218924321005392,NA,F3,1
GO:0045862,positive regulation of proteolysis,1/1,363/18670,0.0194429566148902,0.0226834493840385,NA,F3,1
GO:0050678,regulation of epithelial cell proliferation,1/1,378/18670,0.020246384574183,0.0228453522909871,NA,F3,1
GO:0045765,regulation of angiogenesis,1/1,383/18670,0.0205141938939476,0.0228453522909871,NA,F3,1
GO:0051604,protein maturation,1/1,397/18670,0.0212640599892875,0.0231541986550019,NA,F3,1
GO:1901342,regulation of vasculature development,1/1,422/18670,0.0226031065881093,0.0237301374754508,NA,F3,1
GO:0052548,regulation of endopeptidase activity,1/1,425/18670,0.0227637921799678,0.0237301374754508,NA,F3,1
GO:0050673,epithelial cell proliferation,1/1,434/18670,0.0232458489555436,0.0237301374754508,NA,F3,1
GO:0052547,regulation of peptidase activity,1/1,452/18670,0.0242099625066949,0.0242099625066949,NA,F3,1
